BUY GFD 3300 71 order0
MODIFY order0 SELL 1 82
CANCEL order0
BUY GFD 2500 85 order1
BUY GFD 4500 36 order2
SELL IOC 5400 97 order3
MODIFY order2 BUY 1 10
MODIFY order3 BUY 1 75
SELL GFD 3300 5 order4
CANCEL order4
BUY IOC 7400 86 order5
CANCEL order1
CANCEL order4
BUY IOC 3200 89 order6
SELL IOC 0 87 order7
CANCEL order2
MODIFY order6 SELL 1 35
BUY GFD 4700 55 order8
SELL IOC 5400 67 order9
BUY IOC 800 28 order10
CANCEL order7
CANCEL order3
MODIFY order2 BUY 1 13
BUY IOC 0 3 order11
CANCEL order6
SELL IOC 8000 88 order12
CANCEL order8
SELL GFD 2600 2 order13
SELL GFD 6100 80 order14
BUY GFD 600 22 order15
BUY IOC 9200 36 order16
CANCEL order6
BUY IOC 4400 8 order17
CANCEL order1
CANCEL order10
BUY IOC 5500 36 order18
CANCEL order1
BUY GFD 3000 29 order19
MODIFY order5 BUY 1 56
MODIFY order14 BUY 1 86
MODIFY order3 SELL 1 99
BUY IOC 7100 74 order20
